gene_id,U_statistic,p_value,bonferonni_p_value,group
ENSG00000154814,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000151725,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000247228,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000112210,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000196189,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000196700,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000254571,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000134183,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000132821,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000198518,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000261173,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000273271,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000184985,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000237149,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000270139,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000103152,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000166484,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000230453,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000138115,4.0,0.000164529398101,3.05925962829,M2_12+M6_07
ENSG00000163481,4.0,0.000164529398101,3.05925962829,M2_12+M6_07
ENSG00000066185,4.0,0.000164529398101,3.05925962829,M2_12+M6_07
ENSG00000087008,4.0,0.000164529398101,3.05925962829,M2_12+M6_07
ENSG00000198589,4.0,0.000164529398101,3.05925962829,M2_12+M6_07
ENSG00000163568,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000183833,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000235999,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000131080,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000142684,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000089177,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000236782,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000119636,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000179134,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000254894,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000037897,2.0,0.000188355606042,3.50228413874,M2_12+M6_07
ENSG00000181751,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000124587,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000147027,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000197748,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000182858,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000060656,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000169126,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000109534,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000272077,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000263218,0.0,0.000201881325933,3.75378137439,M2_12+M6_07
ENSG00000235961,5.0,0.000216810373254,4.03137208029,M2_12+M6_07
ENSG00000253582,5.0,0.000216810373254,4.03137208029,M2_12+M6_07
ENSG00000178531,5.0,0.000216810373254,4.03137208029,M2_12+M6_07
ENSG00000255154,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000183086,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000130023,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000102221,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000185043,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000215041,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000132207,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000139880,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000181218,8.0,0.000235931513141,4.38691055535,M2_12+M6_07
ENSG00000170703,6.0,0.000284288823448,5.28606638319,M2_12+M6_07
ENSG00000063601,6.0,0.000284288823448,5.28606638319,M2_12+M6_07
ENSG00000186522,6.0,0.000284288823448,5.28606638319,M2_12+M6_07
